age,income,loan_amount,loan_tenure,employment_type,cibil_score,existing_loans,education,loan_purpose,monthly_emi,emi_to_income,default
35,114555,802158,48,Business,746,0,Post-Graduate,Personal,16905.27,0.1476,0
64,53134,801259,24,Salaried,307,1,Under-Graduate,Business,33850.92,0.6371,1
23,173395,1297291,12,Business,761,0,Under-Graduate,Business,109291.89,0.6303,1
57,40954,1106504,60,Self-Employed,610,1,Graduate,Business,18692.24,0.4564,0
27,104959,1670866,60,Business,433,3,Under-Graduate,Personal,28254.35,0.2692,0
41,19992,396997,12,Salaried,684,1,Post-Graduate,Vehicle,33441.83,1.6728,1
29,16961,688902,48,Business,355,2,Graduate,Vehicle,14520.16,0.8561,0
59,27497,167517,60,Business,659,0,Under-Graduate,Home,2824.74,0.1027,0
38,178623,1254665,48,Business,413,3,Under-Graduate,Business,26483.33,0.1483,0
24,28255,1177640,60,Business,387,2,Post-Graduate,Personal,19892.79,0.704,0
45,150639,1505105,48,Self-Employed,437,1,Under-Graduate,Home,31572.51,0.2096,0
34,63847,444775,60,Salaried,407,1,Post-Graduate,Vehicle,7507.64,0.1176,0
29,194075,1149469,48,Salaried,799,2,Under-Graduate,Home,24263.34,0.125,0
46,35389,1375887,24,Salaried,834,1,Under-Graduate,Business,58045.44,1.6402,0
22,190595,612886,48,Business,443,0,Post-Graduate,Education,12929.52,0.0678,1
40,138802,1237171,24,Salaried,355,4,Graduate,Business,51910.24,0.374,0
48,76576,886209,24,Self-Employed,305,1,Post-Graduate,Business,37307.56,0.4872,1
27,58919,471655,12,Business,841,3,Graduate,Personal,39834.6,0.6761,1
64,18358,1477098,24,Business,746,1,Graduate,Education,62435.09,3.401,0
28,103535,1179636,36,Salaried,684,3,Post-Graduate,Education,33048.78,0.3192,0
55,120982,849717,24,Business,606,1,Post-Graduate,Education,35811.79,0.296,0
34,20698,1502765,48,Business,601,1,Under-Graduate,Vehicle,31726.17,1.5328,0
37,81809,435114,24,Salaried,704,3,Under-Graduate,Home,18364.29,0.2245,0
56,108079,596982,48,Self-Employed,861,0,Graduate,Vehicle,12584.18,0.1164,0
60,70805,971806,48,Self-Employed,809,4,Under-Graduate,Education,20384.08,0.2879,1
24,177421,1359977,36,Salaried,372,4,Post-Graduate,Personal,38256.87,0.2156,0
22,196320,821136,24,Self-Employed,863,0,Graduate,Business,34662.56,0.1766,0
26,90033,1776327,24,Self-Employed,564,1,Under-Graduate,Business,74952.89,0.8325,0
62,113239,841043,60,Self-Employed,526,4,Under-Graduate,Vehicle,14200.29,0.1254,0
24,145407,1632236,60,Business,492,0,Post-Graduate,Vehicle,27482.98,0.189,1
49,59041,1253960,12,Business,673,0,Post-Graduate,Personal,106058.68,1.7964,0
38,46954,1243728,48,Business,309,4,Under-Graduate,Business,26250.17,0.5591,1
46,23002,917050,36,Self-Employed,601,3,Graduate,Vehicle,25766.28,1.1202,1
64,84783,687233,60,Business,658,2,Graduate,Home,11619.41,0.137,0
54,122524,944829,24,Self-Employed,351,3,Post-Graduate,Vehicle,39928.28,0.3259,1
30,139857,670501,12,Salaried,398,1,Post-Graduate,Vehicle,56626.87,0.4049,0
56,34738,70874,36,Self-Employed,892,3,Post-Graduate,Education,1991.1,0.0573,1
34,25703,1554329,24,Business,312,2,Under-Graduate,Home,65479.94,2.5476,1
51,128776,1827850,24,Self-Employed,689,2,Under-Graduate,Home,76876.77,0.597,1
35,195494,444813,48,Business,656,0,Post-Graduate,Personal,9348.09,0.0478,0
28,158464,585888,48,Business,310,1,Graduate,Education,12339.49,0.0779,1
34,59724,971251,60,Salaried,380,0,Post-Graduate,Home,16373.37,0.2742,1
43,47299,915847,60,Salaried,560,3,Post-Graduate,Education,15396.98,0.3255,0
60,30641,1871294,24,Business,305,3,Graduate,Education,79089.85,2.5812,1
41,94534,521769,24,Self-Employed,757,4,Graduate,Business,21986.27,0.2326,0
36,21305,730175,60,Salaried,672,0,Graduate,Home,12304.11,0.5775,0
38,33782,789860,60,Salaried,780,0,Graduate,Business,13299.89,0.3937,0
44,93257,668636,24,Business,521,0,Under-Graduate,Vehicle,28059.05,0.3009,0
46,92963,155736,36,Self-Employed,380,0,Under-Graduate,Vehicle,4386.65,0.0472,1
45,136987,1909722,24,Salaried,814,2,Post-Graduate,Business,80312.43,0.5863,1
61,166638,462106,36,Salaried,359,4,Under-Graduate,Vehicle,12990.58,0.078,0
49,139591,505040,36,Self-Employed,520,1,Post-Graduate,Business,14193.43,0.1017,1
35,82766,185797,24,Salaried,648,1,Post-Graduate,Personal,7830.86,0.0946,0
21,21511,486421,12,Self-Employed,860,1,Graduate,Education,40982.9,1.9052,1
45,129816,1774620,60,Business,527,2,Graduate,Personal,29818.9,0.2297,0
27,172249,535077,48,Salaried,589,4,Under-Graduate,Home,11247.82,0.0653,1
29,19765,1025415,24,Business,592,4,Under-Graduate,Personal,43197.1,2.1855,0
44,166426,1065582,36,Self-Employed,492,2,Under-Graduate,Personal,29991.53,0.1802,0
21,38929,685861,24,Business,773,0,Under-Graduate,Vehicle,28870.94,0.7416,0
64,174892,325236,60,Business,556,3,Graduate,Business,5465.95,0.0313,0
28,126576,408062,36,Business,805,0,Graduate,Home,11418.93,0.0902,0
44,175595,1007274,48,Self-Employed,687,1,Under-Graduate,Vehicle,21240.72,0.121,0
31,86088,75457,48,Self-Employed,697,0,Post-Graduate,Home,1588.05,0.0184,0
37,92525,908099,48,Self-Employed,665,2,Graduate,Education,19064.62,0.206,0
28,28780,1451471,12,Self-Employed,589,1,Graduate,Business,122442.13,4.2544,1
55,21589,112894,36,Self-Employed,608,3,Graduate,Vehicle,3162.28,0.1465,1
55,180884,635593,36,Salaried,577,1,Graduate,Personal,17847.95,0.0987,1
53,108664,1766548,12,Salaried,763,0,Under-Graduate,Education,148569.37,1.3672,1
25,192011,808201,36,Salaried,488,4,Under-Graduate,Personal,22774.0,0.1186,1
62,197565,259699,12,Business,477,4,Post-Graduate,Home,21827.03,0.1105,0
59,119188,1068143,24,Business,827,4,Graduate,Education,44958.41,0.3772,0
61,108326,1937145,60,Self-Employed,674,1,Under-Graduate,Vehicle,32759.14,0.3024,0
48,55953,50559,48,Self-Employed,897,4,Under-Graduate,Personal,1063.13,0.019,0
27,80785,1951257,12,Salaried,753,2,Graduate,Personal,164562.23,2.037,0
29,34309,87361,12,Self-Employed,516,3,Under-Graduate,Home,7347.83,0.2142,0
28,69195,917152,12,Business,341,4,Under-Graduate,Home,77009.35,1.1129,1
32,40901,851693,24,Self-Employed,493,2,Under-Graduate,Business,35909.37,0.878,1
54,169648,1905380,12,Salaried,626,2,Post-Graduate,Business,161052.29,0.9493,0
53,177580,1416075,60,Self-Employed,672,1,Under-Graduate,Home,23847.6,0.1343,0
43,40464,1851612,60,Business,764,1,Graduate,Business,31226.97,0.7717,0
44,31260,410704,48,Salaried,462,3,Graduate,Personal,8656.79,0.2769,0
57,139997,1811856,24,Self-Employed,575,3,Graduate,Home,76258.43,0.5447,0
55,50440,293950,60,Business,663,0,Under-Graduate,Education,4956.93,0.0983,0
64,110082,1524336,36,Salaried,779,3,Post-Graduate,Home,42716.45,0.388,0
60,120583,50037,36,Salaried,759,1,Under-Graduate,Vehicle,1403.56,0.0116,0
42,71683,748392,36,Business,564,2,Graduate,Vehicle,21003.88,0.293,1
47,139206,1570025,12,Self-Employed,838,0,Post-Graduate,Home,132649.68,0.9529,1
55,187502,353564,12,Self-Employed,685,3,Post-Graduate,Education,29745.62,0.1586,1
21,148059,1606026,36,Self-Employed,384,2,Under-Graduate,Home,45145.37,0.3049,1
55,171177,671531,48,Salaried,615,1,Graduate,Education,14108.38,0.0824,0
57,93484,703668,48,Salaried,542,4,Under-Graduate,Personal,14788.34,0.1582,0
34,159098,1357006,12,Self-Employed,768,0,Graduate,Personal,114448.78,0.7194,1
23,83309,608888,36,Salaried,641,2,Post-Graduate,Education,17133.76,0.2057,0
21,60927,753645,48,Salaried,476,1,Under-Graduate,Business,15866.07,0.2604,1
25,57946,767368,12,Business,429,1,Post-Graduate,Personal,64552.22,1.114,0
46,141503,1974528,36,Self-Employed,382,0,Graduate,Vehicle,55629.71,0.3931,0
34,156449,1890175,24,Self-Employed,659,0,Post-Graduate,Home,79371.47,0.5073,0
59,68592,1355927,36,Self-Employed,387,3,Post-Graduate,Business,38141.95,0.5561,0
47,153419,574720,36,Salaried,831,3,Post-Graduate,Vehicle,16162.69,0.1054,0
29,48776,835838,60,Salaried,770,0,Under-Graduate,Home,14103.63,0.2892,0
35,149855,643975,60,Salaried,797,0,Graduate,Vehicle,10888.13,0.0727,0
35,70798,818576,24,Self-Employed,806,2,Post-Graduate,Business,34541.69,0.4879,0
46,150370,908379,24,Salaried,653,3,Post-Graduate,Education,38196.57,0.254,1
62,85204,932756,36,Self-Employed,715,1,Post-Graduate,Home,26158.93,0.307,0
33,101207,1935911,48,Salaried,350,3,Post-Graduate,Vehicle,40731.81,0.4025,0
52,115356,1583951,24,Self-Employed,899,3,Graduate,Vehicle,66454.89,0.5761,0
59,75652,235221,36,Business,362,0,Graduate,Business,6627.22,0.0876,1
52,180556,793000,12,Salaried,388,0,Under-Graduate,Business,66564.39,0.3687,0
24,144572,1286416,60,Self-Employed,489,3,Graduate,Business,21708.23,0.1502,1
50,35922,503400,48,Business,647,4,Graduate,Education,10621.23,0.2957,1
57,180100,902224,36,Business,837,4,Post-Graduate,Personal,25405.06,0.1411,0
43,166388,345583,12,Salaried,475,3,Under-Graduate,Vehicle,29123.37,0.175,1
59,91996,1262905,60,Self-Employed,663,4,Under-Graduate,Education,21315.95,0.2317,0
35,163040,1072697,12,Salaried,853,3,Post-Graduate,Vehicle,90212.87,0.5533,0
63,45266,1274322,36,Business,782,0,Under-Graduate,Education,35853.75,0.7921,0
49,170072,1411968,24,Salaried,418,0,Graduate,Home,59392.58,0.3492,1
56,160083,1575394,60,Self-Employed,468,0,Under-Graduate,Personal,26629.16,0.1663,1
33,17866,750731,12,Business,446,1,Post-Graduate,Vehicle,63063.17,3.5298,1
52,127669,1852218,24,Salaried,736,0,Under-Graduate,Business,77893.33,0.6101,0
27,20898,1559788,48,Salaried,738,0,Under-Graduate,Personal,32847.29,1.5718,1
42,33395,1791233,36,Salaried,488,3,Under-Graduate,Vehicle,50409.88,1.5095,1
48,185091,1021777,36,Salaried,459,4,Post-Graduate,Home,28749.02,0.1553,0
22,19006,1553048,60,Salaried,701,4,Graduate,Vehicle,26102.15,1.3734,0
62,180465,609031,12,Business,885,0,Under-Graduate,Vehicle,51151.94,0.2834,0
26,25956,249824,48,Business,317,0,Graduate,Vehicle,5252.55,0.2024,1
48,196114,654091,60,Self-Employed,439,0,Graduate,Personal,11018.14,0.0562,1
48,152150,1960125,60,Salaried,414,3,Graduate,Vehicle,33033.28,0.2171,0
64,175703,1299699,12,Self-Employed,627,3,Under-Graduate,Business,109417.63,0.6227,1
64,110676,72076,48,Business,524,3,Graduate,Education,1519.89,0.0137,1
40,136724,291424,12,Salaried,857,4,Under-Graduate,Business,24533.76,0.1794,1
50,77901,256384,36,Self-Employed,738,1,Under-Graduate,Home,7225.42,0.0928,0
31,122227,300699,24,Salaried,849,4,Under-Graduate,Personal,12639.9,0.1034,1
48,132192,923915,36,Salaried,685,3,Graduate,Education,25969.58,0.1965,0
45,187646,708323,36,Self-Employed,820,2,Under-Graduate,Personal,19907.05,0.1061,1
59,46417,1479937,60,Business,552,1,Post-Graduate,Personal,24887.93,0.5362,0
53,103020,194938,36,Self-Employed,397,0,Post-Graduate,Vehicle,5469.62,0.0531,0
21,98639,940936,48,Self-Employed,370,4,Post-Graduate,Business,19793.22,0.2007,1
47,109881,213377,36,Self-Employed,850,1,Under-Graduate,Education,5975.17,0.0544,0
33,185526,1029907,48,Salaried,746,2,Post-Graduate,Vehicle,21684.78,0.1169,0
61,147659,263968,12,Business,389,1,Under-Graduate,Education,22214.86,0.1504,0
23,136688,1990657,60,Business,729,4,Under-Graduate,Business,33448.1,0.2447,0
59,130584,438388,48,Salaried,518,3,Under-Graduate,Vehicle,9228.21,0.0707,0
26,101567,344957,36,Business,406,0,Graduate,Education,9679.7,0.0953,0
28,90886,1951737,60,Self-Employed,775,3,Post-Graduate,Vehicle,32781.42,0.3607,1
47,164888,1028190,60,Business,753,3,Under-Graduate,Personal,17269.48,0.1047,0
29,44432,840944,48,Salaried,843,4,Post-Graduate,Home,17731.0,0.3991,0
57,194689,300703,48,Business,425,3,Post-Graduate,Education,6343.3,0.0326,0
53,87373,1514458,24,Salaried,446,3,Graduate,Business,64018.02,0.7327,1
62,180289,1246278,24,Self-Employed,579,4,Post-Graduate,Education,52312.09,0.2902,1
64,35884,167907,60,Salaried,323,4,Under-Graduate,Home,2819.85,0.0786,1
44,20454,255591,24,Business,419,2,Under-Graduate,Education,10725.22,0.5244,0
35,89960,443852,36,Self-Employed,596,3,Post-Graduate,Education,12466.1,0.1386,0
52,117421,1035461,12,Business,381,1,Post-Graduate,Education,87311.47,0.7436,0
52,58618,1687455,60,Salaried,747,0,Graduate,Business,28406.32,0.4846,0
44,62111,573869,12,Self-Employed,769,0,Under-Graduate,Home,48459.21,0.7802,0
61,185685,1308209,24,Salaried,722,4,Post-Graduate,Home,55184.03,0.2972,1
32,135592,1566608,48,Business,844,4,Post-Graduate,Business,33123.38,0.2443,0
59,74993,1856423,60,Salaried,323,2,Under-Graduate,Education,31182.21,0.4158,1
22,143652,847783,24,Business,360,3,Post-Graduate,Education,35576.95,0.2477,1
23,154920,1743397,36,Business,383,4,Graduate,Home,48861.45,0.3154,1
57,93672,677915,60,Self-Employed,524,4,Post-Graduate,Education,11375.7,0.1214,0
37,81125,1546976,60,Self-Employed,485,0,Post-Graduate,Personal,26155.2,0.3224,1
22,132509,1226957,48,Salaried,674,3,Graduate,Education,25796.76,0.1947,0
22,76602,1865128,60,Business,371,2,Graduate,Education,31435.81,0.4104,0
48,57222,1456427,48,Business,373,4,Graduate,Vehicle,30624.94,0.5352,0
43,64223,1036684,24,Self-Employed,640,4,Under-Graduate,Home,43571.62,0.6784,0
57,80333,1442398,36,Self-Employed,452,4,Post-Graduate,Home,40384.59,0.5027,1
52,198804,647597,36,Self-Employed,395,0,Post-Graduate,Personal,18156.76,0.0913,1
53,137650,1847938,60,Self-Employed,864,4,Graduate,Personal,31162.25,0.2264,0
21,64420,1895786,60,Salaried,744,4,Under-Graduate,Personal,32062.91,0.4977,0
39,90504,717861,24,Salaried,409,0,Graduate,Home,30249.39,0.3342,0
22,17462,949145,48,Salaried,757,4,Post-Graduate,Vehicle,19993.46,1.145,0
64,24460,1586697,36,Salaried,350,3,Under-Graduate,Vehicle,44381.7,1.8145,1
46,114319,86382,48,Self-Employed,676,3,Under-Graduate,Business,1824.22,0.016,1
52,155347,796714,24,Salaried,372,0,Post-Graduate,Home,33430.13,0.2152,0
26,159341,912219,36,Salaried,511,3,Under-Graduate,Business,25699.71,0.1613,0
52,144593,1121917,36,Salaried,731,2,Under-Graduate,Education,31512.02,0.2179,0
24,137672,1768303,12,Self-Employed,467,4,Graduate,Personal,148547.85,1.079,1
31,87920,1324856,24,Business,630,2,Under-Graduate,Business,55778.14,0.6344,0
37,37553,1753930,24,Self-Employed,793,3,Graduate,Business,74173.57,1.9752,0
58,170438,1299516,12,Business,442,0,Under-Graduate,Home,109290.27,0.6412,0
44,59036,455218,48,Business,881,0,Graduate,Personal,9568.23,0.1621,0
25,163441,1882116,12,Salaried,744,2,Graduate,Personal,158042.86,0.967,0
54,157867,660108,24,Salaried,693,3,Under-Graduate,Vehicle,27824.73,0.1763,0
26,85021,1158525,48,Salaried,811,4,Graduate,Business,24314.79,0.286,0
42,122205,458916,36,Self-Employed,627,3,Post-Graduate,Vehicle,12914.02,0.1057,0
31,176215,784665,12,Self-Employed,558,3,Post-Graduate,Business,66325.57,0.3764,1
36,175497,1685407,48,Salaried,736,0,Under-Graduate,Home,35619.4,0.203,0
53,103209,533075,48,Self-Employed,863,1,Under-Graduate,Home,11189.75,0.1084,0
29,90139,1912618,48,Self-Employed,648,4,Under-Graduate,Education,40297.22,0.4471,1
26,20368,1040003,12,Business,814,4,Post-Graduate,Business,87314.83,4.2869,1
36,150693,1884742,36,Self-Employed,748,0,Under-Graduate,Business,52952.53,0.3514,0
49,73829,562472,48,Business,698,3,Under-Graduate,Personal,11875.87,0.1609,0
23,144036,1827310,12,Salaried,895,0,Graduate,Personal,153973.44,1.069,1
40,29719,377370,24,Self-Employed,513,3,Under-Graduate,Vehicle,15942.84,0.5365,1
56,44227,881599,12,Business,845,1,Post-Graduate,Education,74447.16,1.6833,0
39,124430,1307427,12,Self-Employed,861,1,Post-Graduate,Home,109929.69,0.8835,0
46,153638,1257587,12,Business,588,2,Under-Graduate,Business,106047.86,0.6902,1
23,27306,504581,48,Business,558,3,Post-Graduate,Vehicle,10582.83,0.3876,0
39,68822,117381,12,Self-Employed,557,0,Graduate,Education,9879.24,0.1435,1
40,39042,883142,24,Salaried,687,0,Graduate,Personal,37115.87,0.9507,0
52,161158,328910,48,Business,844,0,Under-Graduate,Education,6951.49,0.0431,0
27,163459,152416,24,Salaried,564,2,Under-Graduate,Vehicle,6414.46,0.0392,0
61,173114,1635644,60,Self-Employed,612,4,Graduate,Home,27591.06,0.1594,0
53,104424,1147034,12,Self-Employed,339,0,Graduate,Personal,96806.47,0.9271,1
60,197690,892653,48,Salaried,509,1,Under-Graduate,Personal,18840.75,0.0953,0
59,164395,1610290,48,Self-Employed,571,0,Post-Graduate,Home,33977.06,0.2067,1
38,33019,1600184,12,Business,435,0,Under-Graduate,Personal,134558.99,4.0752,1
60,90426,1886517,36,Salaried,898,0,Under-Graduate,Vehicle,53052.21,0.5867,0
21,55863,401637,36,Self-Employed,359,4,Under-Graduate,Personal,11282.0,0.202,1
31,126023,1078212,24,Self-Employed,809,0,Under-Graduate,Business,45448.65,0.3606,0
48,156355,477562,12,Salaried,814,4,Under-Graduate,Education,40062.42,0.2562,0
45,164351,953282,12,Business,314,4,Under-Graduate,Vehicle,80140.73,0.4876,1
43,61999,227946,60,Salaried,554,2,Under-Graduate,Home,3853.89,0.0622,0
51,77780,993652,36,Self-Employed,834,1,Post-Graduate,Vehicle,27852.18,0.3581,0
50,37908,1130109,36,Self-Employed,534,0,Under-Graduate,Business,31715.78,0.8367,0
62,141278,944576,12,Salaried,430,0,Graduate,Personal,79361.88,0.5617,0
55,128002,1483122,24,Business,316,0,Under-Graduate,Personal,62280.1,0.4866,1
27,196297,914899,12,Business,484,4,Post-Graduate,Vehicle,76882.44,0.3917,0
36,184024,313503,24,Business,690,3,Graduate,Personal,13209.98,0.0718,0
46,115706,169119,36,Salaried,722,1,Under-Graduate,Personal,4765.05,0.0412,0
22,183735,271140,60,Business,741,0,Under-Graduate,Business,4561.41,0.0248,0
21,137019,1381064,48,Business,855,3,Graduate,Home,29041.52,0.212,0
32,124708,954931,36,Business,311,3,Under-Graduate,Education,26827.4,0.2151,0
25,194001,381922,24,Business,819,3,Post-Graduate,Vehicle,16066.81,0.0828,0
57,24343,332745,12,Self-Employed,379,1,Under-Graduate,Home,28123.98,1.1553,1
52,91173,1344416,36,Salaried,601,3,Post-Graduate,Education,37711.44,0.4136,0
29,115260,1810921,60,Salaried,515,0,Under-Graduate,Home,30506.58,0.2647,0
61,185863,1461733,24,Business,547,0,Graduate,Vehicle,61582.3,0.3313,1
55,175206,1871046,12,Salaried,840,2,Post-Graduate,Business,157976.14,0.9017,1
39,193173,1610121,48,Salaried,571,4,Under-Graduate,Business,33925.45,0.1756,0
36,84443,1391502,24,Self-Employed,432,3,Under-Graduate,Business,58481.33,0.6926,1
23,72530,1733959,12,Salaried,304,4,Graduate,Home,145609.19,2.0076,1
40,192871,493035,48,Self-Employed,841,4,Graduate,Vehicle,10420.31,0.054,0
44,150899,1051920,12,Salaried,440,4,Post-Graduate,Personal,88829.94,0.5887,1
53,111143,409267,48,Self-Employed,782,4,Post-Graduate,Personal,8584.87,0.0772,0
44,159771,1929466,48,Self-Employed,604,4,Post-Graduate,Business,40740.38,0.255,0
31,129527,960657,48,Salaried,644,0,Under-Graduate,Home,20245.61,0.1563,0
28,151385,713440,12,Self-Employed,861,1,Under-Graduate,Personal,60106.77,0.397,0
56,159670,1056247,48,Self-Employed,569,3,Post-Graduate,Home,22154.09,0.1387,0
58,126362,739317,24,Salaried,407,3,Under-Graduate,Vehicle,31210.69,0.247,0
60,43807,1505700,60,Self-Employed,857,0,Graduate,Business,25303.72,0.5776,1
40,191298,408332,60,Self-Employed,773,0,Under-Graduate,Education,6892.19,0.036,0
55,74550,801240,48,Self-Employed,381,4,Post-Graduate,Business,16805.99,0.2254,1
45,18558,171292,60,Self-Employed,383,1,Under-Graduate,Education,2892.84,0.1559,1
55,65113,140570,60,Self-Employed,589,3,Graduate,Personal,2358.9,0.0362,0
45,67999,534540,48,Business,370,2,Post-Graduate,Education,11232.38,0.1652,1
49,182415,1045791,48,Self-Employed,474,0,Post-Graduate,Home,21981.27,0.1205,0
38,73219,173791,24,Self-Employed,762,2,Post-Graduate,Education,7299.07,0.0997,0
38,181258,1014986,36,Self-Employed,694,3,Post-Graduate,Personal,28495.04,0.1572,0
22,183038,1591121,12,Self-Employed,390,0,Under-Graduate,Personal,133790.83,0.7309,1
55,179841,565689,48,Salaried,768,3,Graduate,Business,11961.31,0.0665,1
36,68218,934807,48,Business,733,0,Under-Graduate,Personal,19699.1,0.2888,0
61,34229,1661178,60,Salaried,548,3,Under-Graduate,Home,28001.57,0.8181,0
56,90209,806349,24,Business,871,2,Post-Graduate,Education,33883.7,0.3756,0
53,42877,780281,60,Self-Employed,540,1,Graduate,Vehicle,13135.67,0.3064,0
24,112137,1575560,48,Self-Employed,795,0,Under-Graduate,Personal,33076.91,0.295,0
53,53084,1469600,48,Business,639,2,Graduate,Education,31015.33,0.5843,1
34,96780,412470,60,Business,770,3,Graduate,Business,6939.3,0.0717,0
41,162878,196903,48,Salaried,762,2,Graduate,Vehicle,4155.2,0.0255,0
40,52034,1947459,36,Business,574,0,Graduate,Business,54624.28,1.0498,0
28,186389,95708,12,Self-Employed,314,2,Under-Graduate,Home,8094.55,0.0434,0
27,70468,1902690,12,Salaried,340,3,Graduate,Business,159840.66,2.2683,1
23,165166,1463126,12,Business,507,4,Under-Graduate,Education,122741.56,0.7431,1
37,25589,1574616,36,Business,359,1,Graduate,Vehicle,44247.74,1.7292,0
53,72221,1265442,48,Salaried,664,1,Graduate,Business,26748.49,0.3704,0
32,16657,1420092,60,Business,539,4,Under-Graduate,Business,23953.61,1.4381,1
42,113300,1662341,24,Self-Employed,459,0,Post-Graduate,Home,69775.45,0.6158,1
42,132229,533157,48,Salaried,696,2,Under-Graduate,Education,11231.52,0.0849,0
50,54531,1268385,36,Business,799,2,Graduate,Business,35734.84,0.6553,0
58,67227,183692,36,Self-Employed,508,4,Under-Graduate,Education,5136.85,0.0764,1
58,18164,544166,12,Business,432,4,Graduate,Personal,45712.56,2.5167,1
28,108078,808529,48,Salaried,680,3,Under-Graduate,Home,17070.99,0.158,0
47,56247,1875969,12,Business,732,3,Under-Graduate,Home,158537.5,2.8186,0
47,165673,1264705,24,Business,688,1,Under-Graduate,Home,53357.89,0.3221,0
54,65599,1007642,12,Business,882,0,Post-Graduate,Education,85223.81,1.2992,0
41,150624,784750,24,Self-Employed,731,0,Under-Graduate,Business,32940.49,0.2187,0
50,155489,103024,36,Self-Employed,573,4,Under-Graduate,Business,2893.87,0.0186,1
53,83207,1501469,12,Business,650,1,Post-Graduate,Education,126670.8,1.5224,1
48,87055,1273759,12,Business,433,1,Post-Graduate,Education,107475.76,1.2346,0
53,117266,1253722,60,Salaried,365,3,Graduate,Personal,21172.84,0.1806,1
25,93270,592112,36,Business,504,2,Graduate,Vehicle,16682.98,0.1789,0
39,126426,568534,60,Salaried,597,0,Under-Graduate,Vehicle,9567.29,0.0757,1
24,149794,1982159,24,Self-Employed,416,1,Graduate,Home,83170.13,0.5552,1
55,85442,98926,24,Business,566,3,Under-Graduate,Business,4161.85,0.0487,0
37,110632,1266508,36,Salaried,448,3,Post-Graduate,Home,35612.22,0.3219,0
64,186103,325119,24,Self-Employed,493,3,Post-Graduate,Business,13661.03,0.0734,1
48,36438,911309,36,Salaried,478,2,Under-Graduate,Business,25653.76,0.704,1
50,73819,1847613,24,Self-Employed,447,1,Graduate,Personal,77638.09,1.0517,1
49,58856,1962878,48,Business,764,4,Graduate,Education,41169.34,0.6995,1
26,179648,1868317,12,Salaried,868,4,Graduate,Education,157390.24,0.8761,1
55,56938,1704235,48,Business,304,3,Under-Graduate,Education,35956.54,0.6315,0
61,195100,731908,36,Salaried,825,3,Graduate,Vehicle,20525.56,0.1052,1
57,74807,413114,36,Self-Employed,579,2,Post-Graduate,Education,11623.51,0.1554,1
44,64877,533791,48,Salaried,798,3,Post-Graduate,Vehicle,11235.41,0.1732,0
